,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,url
12159,tt0034570,movie,Calling Dr. Gillespie,Calling Dr. Gillespie,0,1942,\N,84,"Crime,Drama,Thriller",6.2,369,https://www.imdb.com/title/tt0034570/
6963,tt0026484,movie,Home on the Range,Home on the Range,0,1935,\N,54,"Action,Drama,Romance",6.3,46,https://www.imdb.com/title/tt0026484/
139911,tt10925772,movie,Hello Carbot The Movie: Save The Moon,Hello Carbot The Movie: Save The Moon,0,2019,\N,76,"Adventure,Animation,Family",6.7,15,https://www.imdb.com/title/tt10925772/
21163,tt0048035,movie,Enhörningen,Enhörningen,0,1955,\N,98,Drama,5.0,30,https://www.imdb.com/title/tt0048035/
247037,tt8173728,movie,The Wolf House,La casa lobo,0,2018,\N,75,"Animation,Drama,Horror",7.6,2212,https://www.imdb.com/title/tt8173728/
230873,tt6028638,movie,Let the Old Folks Die,Lasst die Alten sterben,0,2017,\N,92,Drama,6.4,58,https://www.imdb.com/title/tt6028638/
240209,tt7165808,movie,The View from Here,The View from Here,0,2017,\N,102,"Comedy,Drama,Romance",5.8,159,https://www.imdb.com/title/tt7165808/
155458,tt1343362,movie,Do Knot Disturb,Do Knot Disturb,0,2009,\N,126,"Comedy,Drama",3.7,1173,https://www.imdb.com/title/tt1343362/
1722,tt0014141,movie,Human Wreckage,Human Wreckage,0,1923,\N,80,"Crime,Drama,Thriller",7.3,23,https://www.imdb.com/title/tt0014141/
61841,tt0118237,movie,The Pupil,L'élève,0,1996,\N,92,Drama,6.1,188,https://www.imdb.com/title/tt0118237/
47560,tt0090096,movie,Sudden Death,Sudden Death,0,1985,\N,90,"Action,Thriller",4.8,157,https://www.imdb.com/title/tt0090096/
213290,tt4222078,movie,The Binman,The Binman,0,2015,\N,60,"Horror,Thriller",7.6,10,https://www.imdb.com/title/tt4222078/
189250,tt2368855,movie,Found,Found,0,2012,\N,70,Drama,6.1,9,https://www.imdb.com/title/tt2368855/
